"season","holiday","workingday","weather","temp","atemp","humidity","windspeed","count","demand_level","hour"
1,0,0,1,9.84,14.395,81,0,16,0,0
1,0,0,1,9.02,13.635,80,0,40,0,1
1,0,0,1,9.02,13.635,80,0,32,0,2
1,0,0,1,9.84,14.395,75,0,13,0,3
1,0,0,1,9.84,14.395,75,0,1,0,4
1,0,0,2,9.84,12.88,75,6.0032,1,0,5
1,0,0,1,9.02,13.635,80,0,2,0,6
1,0,0,1,8.2,12.88,86,0,3,0,7
1,0,0,1,9.84,14.395,75,0,8,0,8
1,0,0,1,13.12,17.425,76,0,14,0,9
1,0,0,1,15.58,19.695,76,16.9979,36,0,10
1,0,0,1,14.76,16.665,81,19.0012,56,0,11
1,0,0,1,17.22,21.21,77,19.0012,84,0,12
1,0,0,2,18.86,22.725,72,19.9995,94,0,13
1,0,0,2,18.86,22.725,72,19.0012,106,0,14
1,0,0,2,18.04,21.97,77,19.9995,110,0,15
1,0,0,2,17.22,21.21,82,19.9995,93,0,16
1,0,0,2,18.04,21.97,82,19.0012,67,0,17
1,0,0,3,17.22,21.21,88,16.9979,35,0,18
1,0,0,3,17.22,21.21,88,16.9979,37,0,19
1,0,0,2,16.4,20.455,87,16.9979,36,0,20
1,0,0,2,16.4,20.455,87,12.998,34,0,21
1,0,0,2,16.4,20.455,94,15.0013,28,0,22
1,0,0,2,18.86,22.725,88,19.9995,39,0,23
1,0,0,2,18.86,22.725,88,19.9995,17,0,0
1,0,0,2,18.04,21.97,94,16.9979,17,0,1
1,0,0,2,17.22,21.21,100,19.0012,9,0,2
1,0,0,2,18.86,22.725,94,12.998,6,0,3
1,0,0,2,18.86,22.725,94,12.998,3,0,4
1,0,0,3,17.22,21.21,77,19.9995,2,0,6
1,0,0,2,16.4,20.455,76,12.998,1,0,7
1,0,0,3,16.4,20.455,71,15.0013,8,0,8
1,0,0,2,15.58,19.695,76,15.0013,20,0,9
1,0,0,2,14.76,17.425,81,15.0013,53,0,10
1,0,0,2,14.76,16.665,71,16.9979,70,0,11
1,0,0,2,14.76,16.665,66,19.9995,93,0,12
